�� 990002 ;;;;;;;;X;Y;H
9;0.000;���.53;"166°50'16""";"0°35'33""";"95°50'1""";-1.047;;187.7875;121.8411;99.457
9a;0.000;21.9013;"174°31'12""";"33°16'27""";"92°36'55""";-0.999;21.8785;199.7531;130.8149;99.505
12;0.000;70.2335;"179°43'14""";"38°28'28""";"90°33'46""";-0.690;70.2301;236.4435;162.5061;99.815
13;0.000;95.9377;"183°37'18""";"42°22'33""";"90°16'28""";-0.459;95.9366;252.3337;183.4717;100.045
11;0.000;43.9798;"185°36'58""";"44°22'12""";"90°58'19""";-0.746;43.9735;212.8954;149.5616;99.758
9b;0.000;21.8330;"189°14'40""";"47°59'55""";"92°6'31""";-0.803;21.8183;196.0612;135.0250;99.701
8;0.000;���.48;"345°16'7""";"204°1'22""";"96°0'22""";-1.068;10.1488;172.1918;114.6797;99.437
7a;0.000;25.1027;"355°23'33""";"214°8'48""";"92°39'18""";-1.163;25.0758;160.7087;104.7360;99.342
6;0.000;73.0040;"359°43'23""";"218°28'38""";"91°2'34""";-1.328;72.9919;124.3194;73.3954;99.176
6a;0.000;48.2932;"5°46'4""";"224°31'19""";"90°56'17""";-0.791;48.2868;147.0338;84.9535;99.714
7;0.000;39.2687;"6°19'17""";"225°4'32""";"91°28'46""";-1.014;39.2556;153.7402;91.0169;99.491
7b;0.000;24.4112;"9°26'59""";"228°12'14""";"91°31'20""";-0.648;24.4026;165.1976;100.6186;99.856
;;;;;;;;;;
990002;;;;;;;;181.4615;118.8113;100.5045
