*110002+0000000000990001 84...6+0000000000000000 85...6+0000000000000000 86...6+0000000000000000 88...6+0000000000000000 
*110026+000000000000006a 21...2+0000000019573649 22...2+0000000010056394 31...6+0000000000325143 51....-000000000011+175 87...6+0000000000000000 
*110027+0000000000000007 21...2+0000000019747585 22...2+0000000010078168 31...6+0000000000415015 51....-000000000011+175 87...6+0000000000000000 
*110028+000000000000007b 21...2+0000000019849976 22...2+0000000010015877 31...6+0000000000564270 51....-000000000011+175 87...6+0000000000000000 
*110029+0000000000000008 21...2+0000000020472770 22...2+0000000010050260 31...6+0000000000708648 51....-000000000011+175 87...6+0000000000000000 
*110030+000000000000007a 21...2+0000000020536987 22...2+0000000010075098 31...6+0000000000556895 51....-000000000011+175 87...6+0000000000000000 
*110031+0000000000000006 21...2+0000000022445848 22...2+0000000010652713 31...6+0000000000081241 51....-000000000011+175 87...6+0000000000000000 
*110032+0000000000000004 21...2+0000000039604897 22...2+0000000010259518 31...6+0000000000287809 51....-000000000011+175 87...6+0000000000000000 
*110033+0000000000000003 21...2+0000000039685349 22...2+0000000010067588 31...6+0000000000409237 51....-000000000011+175 87...6+0000000000000000 
*110034+0000000000000001 21...2+0000000039999964 22...2+0000000010066125 31...6+0000000000772363 51....-000000000011+175 87...6+0000000000000000 
*110035+0000000000000002 21...2+0000000000501590 22...2+0000000010085973 31...6+0000000000669892 51....-000000000011+175 87...6+0000000000000000 
*110036+000000000000004a 21...2+0000000001209786 22...2+0000000010402500 31...6+0000000000183133 51....-000000000011+175 87...6+0000000000000000 
*110037+0000000000000005 21...2+0000000002036926 22...2+0000000010735010 31...6+0000000000100581 51....-000000000011+175 87...6+0000000000000000 
*110038+0000000000000005 21...2+0000000022036875 22...2+0000000029265081 31...6+0000000000100581 51....-000000000011+175 87...6+0000000000000000 
*110039+000000000000004a 21...2+0000000021209664 22...2+0000000029597625 31...6+0000000000183134 51....-000000000011+175 87...6+0000000000000000 
*110040+0000000000000002 21...2+0000000020501531 22...2+0000000029914071 31...6+0000000000669892 51....-000000000011+175 87...6+0000000000000000 
*110041+0000000000000001 21...2+0000000019999940 22...2+0000000029934363 31...6+0000000000772365 51....-000000000011+175 87...6+0000000000000000 
*110042+0000000000000003 21...2+0000000019685214 22...2+0000000029932444 31...6+0000000000409236 51....-000000000011+175 87...6+0000000000000000 
*110043+0000000000000004 21...2+0000000019604847 22...2+0000000029740456 31...6+0000000000287810 51....-000000000011+175 87...6+0000000000000000 
*110044+0000000000000006 21...2+0000000002445841 22...2+0000000029347206 31...6+0000000000081241 51....-000000000011+175 87...6+0000000000000000 
*110045+000000000000007a 21...2+0000000000536935 22...2+0000000029925053 31...6+0000000000556896 51....-000000000011+175 87...6+0000000000000000 
*110046+0000000000000008 21...2+0000000000472747 22...2+0000000029949910 31...6+0000000000708650 51....-000000000011+175 87...6+0000000000000000 
*110047+000000000000007b 21...2+0000000039849999 22...2+0000000029984019 31...6+0000000000564271 51....-000000000011+175 87...6+0000000000000000 
*110048+0000000000000007 21...2+0000000039747619 22...2+0000000029921836 31...6+0000000000415016 51....-000000000011+175 87...6+0000000000000000 
*110049+000000000000006a 21...2+0000000039573662 22...2+0000000029943589 31...6+0000000000325144 51....-000000000011+175 87...6+0000000000000000 
*110050+000000000000006a 21...2+0000000019573615 22...2+0000000010056378 31...6+0000000000325143 51....-000000000011+175 87...6+0000000000000000 
*110051+0000000000000007 21...2+0000000019747580 22...2+0000000010078062 31...6+0000000000415016 51....-000000000011+175 87...6+0000000000000000 
*110052+000000000000007b 21...2+0000000019849978 22...2+0000000010015925 31...6+0000000000564270 51....-000000000011+175 87...6+0000000000000000 
*110053+0000000000000008 21...2+0000000020472762 22...2+0000000010050126 31...6+0000000000708648 51....-000000000011+175 87...6+0000000000000000 
*110054+000000000000007a 21...2+0000000020536965 22...2+0000000010075101 31...6+0000000000556895 51....-000000000011+175 87...6+0000000000000000 
*110055+0000000000000006 21...2+0000000022445801 22...2+0000000010652685 31...6+0000000000081241 51....-000000000011+175 87...6+0000000000000000 
*110056+0000000000000004 21...2+0000000039604800 22...2+0000000010259558 31...6+0000000000287810 51....-000000000011+175 87...6+0000000000000000 
*110057+0000000000000003 21...2+0000000039685329 22...2+0000000010067637 31...6+0000000000409237 51....-000000000011+175 87...6+0000000000000000 
*110058+0000000000000001 21...2+0000000000000080 22...2+0000000010065862 31...6+0000000000772362 51....-000000000011+175 87...6+0000000000000000 
*110059+0000000000000002 21...2+0000000000501658 22...2+0000000010085883 31...6+0000000000669891 51....-000000000011+175 87...6+0000000000000000 
*110060+000000000000004a 21...2+0000000001209727 22...2+0000000010402448 31...6+0000000000183133 51....-000000000011+175 87...6+0000000000000000 
*110061+0000000000000005 21...2+0000000002036961 22...2+0000000010735018 31...6+0000000000100582 51....-000000000011+175 87...6+0000000000000000 
*110062+0000000000000005 21...2+0000000022036849 22...2+0000000029265067 31...6+0000000000100582 51....-000000000011+175 87...6+0000000000000000 
*110063+000000000000004a 21...2+0000000021209658 22...2+0000000029597599 31...6+0000000000183134 51....-000000000011+175 87...6+0000000000000000 
*110064+0000000000000002 21...2+0000000020501605 22...2+0000000029914136 31...6+0000000000669893 51....-000000000011+175 87...6+0000000000000000 
*110065+0000000000000001 21...2+0000000020000012 22...2+0000000029934157 31...6+0000000000772364 51....-000000000011+175 87...6+0000000000000000 
*110066+0000000000000003 21...2+0000000019685226 22...2+0000000029932565 31...6+0000000000409237 51....-000000000011+175 87...6+0000000000000000 
*110067+0000000000000004 21...2+0000000019604896 22...2+0000000029740444 31...6+0000000000287810 51....-000000000011+175 87...6+0000000000000000 
*110068+0000000000000006 21...2+0000000002445852 22...2+0000000029347191 31...6+0000000000081241 51....-000000000011+175 87...6+0000000000000000 
*110069+000000000000007a 21...2+0000000000536923 22...2+0000000029925071 31...6+0000000000556895 51....-000000000011+175 87...6+0000000000000000 
*110070+0000000000000008 21...2+0000000000472768 22...2+0000000029949863 31...6+0000000000708650 51....-000000000011+175 87...6+0000000000000000 
*110071+000000000000007b 21...2+0000000039849967 22...2+0000000029984083 31...6+0000000000564271 51....-000000000011+175 87...6+0000000000000000 
*110072+0000000000000007 21...2+0000000039747632 22...2+0000000029921853 31...6+0000000000415016 51....-000000000011+175 87...6+0000000000000000 
*110073+000000000000006a 21...2+0000000039573668 22...2+0000000029943475 31...6+0000000000325144 51....-000000000011+175 87...6+0000000000000000 
*110074+000000000000006a 21...2+0000000019573650 22...2+0000000010056438 31...6+0000000000325143 51....-000000000011+175 87...6+0000000000000000 
*110075+0000000000000007 21...2+0000000019747594 22...2+0000000010078113 31...6+0000000000415015 51....-000000000011+175 87...6+0000000000000000 
*110076+000000000000007b 21...2+0000000019849988 22...2+0000000010015952 31...6+0000000000564270 51....-000000000011+175 87...6+0000000000000000 
*110077+0000000000000008 21...2+0000000020472727 22...2+0000000010050140 31...6+0000000000708648 51....-000000000011+175 87...6+0000000000000000 
*110078+000000000000007a 21...2+0000000020536933 22...2+0000000010074949 31...6+0000000000556895 51....-000000000011+175 87...6+0000000000000000 
*110079+0000000000000006 21...2+0000000022445791 22...2+0000000010652733 31...6+0000000000081241 51....-000000000011+175 87...6+0000000000000000 
*110080+0000000000000004 21...2+0000000039604843 22...2+0000000010259559 31...6+0000000000287809 51....-000000000011+175 87...6+0000000000000000 
*110081+0000000000000003 21...2+0000000039685252 22...2+0000000010067597 31...6+0000000000409237 51....-000000000011+175 87...6+0000000000000000 
*110082+0000000000000001 21...2+0000000000000014 22...2+0000000010066013 31...6+0000000000772362 51....-000000000011+175 87...6+0000000000000000 
*110083+0000000000000002 21...2+0000000000501685 22...2+0000000010085908 31...6+0000000000669892 51....-000000000011+175 87...6+0000000000000000 
*110084+000000000000004a 21...2+0000000001209745 22...2+0000000010402411 31...6+0000000000183133 51....-000000000011+175 87...6+0000000000000000 
*110085+0000000000000005 21...2+0000000002036954 22...2+0000000010735027 31...6+0000000000100581 51....-000000000011+175 87...6+0000000000000000 
*110086+0000000000000005 21...2+0000000022036856 22...2+0000000029265026 31...6+0000000000100582 51....-000000000011+175 87...6+0000000000000000 
*110087+000000000000004a 21...2+0000000021209681 22...2+0000000029597621 31...6+0000000000183134 51....-000000000011+175 87...6+0000000000000000 
*110088+0000000000000002 21...2+0000000020501575 22...2+0000000029914217 31...6+0000000000669894 51....-000000000011+175 87...6+0000000000000000 
*110089+0000000000000001 21...2+0000000019999979 22...2+0000000029934012 31...6+0000000000772363 51....-000000000011+175 87...6+0000000000000000 
*110090+0000000000000003 21...2+0000000019685251 22...2+0000000029932519 31...6+0000000000409236 51....-000000000011+175 87...6+0000000000000000 
*110091+0000000000000004 21...2+0000000019604856 22...2+0000000029740334 31...6+0000000000287809 51....-000000000011+175 87...6+0000000000000000 
*110092+0000000000000006 21...2+0000000002445855 22...2+0000000029347207 31...6+0000000000081241 51....-000000000011+175 87...6+0000000000000000 
*110093+000000000000007a 21...2+0000000000536931 22...2+0000000029925142 31...6+0000000000556895 51....-000000000011+175 87...6+0000000000000000 
*110094+0000000000000008 21...2+0000000000472727 22...2+0000000029949785 31...6+0000000000708649 51....-000000000011+175 87...6+0000000000000000 
*110095+000000000000007b 21...2+0000000039849953 22...2+0000000029983909 31...6+0000000000564271 51....-000000000011+175 87...6+0000000000000000 
*110096+0000000000000007 21...2+0000000039747598 22...2+0000000029921814 31...6+0000000000415015 51....-000000000011+175 87...6+0000000000000000 
*110097+000000000000006a 21...2+0000000039573683 22...2+0000000029943385 31...6+0000000000325143 51....-000000000011+175 87...6+0000000000000000 
*110098+0000000000001000 21...2+0000000000152028 22...2+0000000010128314 31...6+0000000000772478 51....-000000000011+175 87...6+0000000000001200 
*110099+0000000000001001 21...2+0000000000277166 22...2+0000000010128481 31...6+0000000000772898 51....-000000000011+175 87...6+0000000000001200 
*110100+0000000000001002 21...2+0000000000337039 22...2+0000000010211002 31...6+0000000000407886 51....-000000000011+175 87...6+0000000000001200 
*110101+0000000000001003 21...2+0000000000099677 22...2+0000000010210596 31...6+0000000000407888 51....-000000000011+175 87...6+0000000000001200 
*110102+0000000000001004 21...2+0000000039957245 22...2+0000000010430924 31...6+0000000000179873 51....-000000000011+175 87...6+0000000000001200 
*110103+0000000000001005 21...2+0000000000494850 22...2+0000000010428187 31...6+0000000000181064 51....-000000000011+175 87...6+0000000000001200 
*110104+0000000000001006 21...2+0000000020808657 22...2+0000000010892832 31...6+0000000000076360 51....-000000000011+175 87...6+0000000000001200 
*110105+0000000000001007 21...2+0000000019530236 22...2+0000000010891439 31...6+0000000000076375 51....-000000000011+175 87...6+0000000000001200 
*110003+0000000000990002 84...6-0000000000026769 85...6-0000000000804827 86...6+0000000000005030 88...6+0000000000000000 
*110133+0000000000000009 21...2+0000000018537536 22...2+0000000010648201 31...6+0000000000103054 51....-000000000007+175 87...6+0000000000000000 
*110134+000000000000009a 21...2+0000000019391083 22...2+0000000010290558 31...6+0000000000219012 51....-000000000007+175 87...6+0000000000000000 
*110135+0000000000000012 21...2+0000000019968951 22...2+0000000010062546 31...6+0000000000702333 51....-000000000007+175 87...6+0000000000000000 
*110136+0000000000000013 21...2+0000000020402430 22...2+0000000010030496 31...6+0000000000959376 51....-000000000007+175 87...6+0000000000000000 
*110137+0000000000000011 21...2+0000000020624033 22...2+0000000010107943 31...6+0000000000439797 51....-000000000007+175 87...6+0000000000000000 
*110138+000000000000009b 21...2+0000000021027163 22...2+0000000010234262 31...6+0000000000218330 51....-000000000007+175 87...6+0000000000000000 
*110139+0000000000000008 21...2+0000000038363205 22...2+0000000010667353 31...6+0000000000102048 51....-000000000007+175 87...6+0000000000000000 
*110140+000000000000007a 21...2+0000000039488048 22...2+0000000010294916 31...6+0000000000251026 51....-000000000007+175 87...6+0000000000000000 
*110141+0000000000000006 21...2+0000000039969279 22...2+0000000010115855 31...6+0000000000730039 51....-000000000007+175 87...6+0000000000000000 
*110142+000000000000006a 21...2+0000000000640884 22...2+0000000010104367 31...6+0000000000482932 51....-000000000007+175 87...6+0000000000000000 
*110143+0000000000000007 21...2+0000000000702423 22...2+0000000010164347 31...6+0000000000392686 51....-000000000007+175 87...6+0000000000000000 
*110144+000000000000007b 21...2+0000000001049977 22...2+0000000010169065 31...6+0000000000244112 51....-000000000007+175 87...6+0000000000000000 
*110145+000000000000007b 21...2+0000000021050001 22...2+0000000029830916 31...6+0000000000244112 51....-000000000007+175 87...6+0000000000000000 
*110146+0000000000000007 21...2+0000000020702352 22...2+0000000029835675 31...6+0000000000392687 51....-000000000007+175 87...6+0000000000000000 
*110147+000000000000006a 21...2+0000000020640843 22...2+0000000029895776 31...6+0000000000482933 51....-000000000007+175 87...6+0000000000000000 
*110148+0000000000000006 21...2+0000000019969244 22...2+0000000029884113 31...6+0000000000730041 51....-000000000007+175 87...6+0000000000000000 
*110149+000000000000007a 21...2+0000000019488050 22...2+0000000029704934 31...6+0000000000251028 51....-000000000007+175 87...6+0000000000000000 
*110150+0000000000000008 21...2+0000000018363158 22...2+0000000029332667 31...6+0000000000102048 51....-000000000007+175 87...6+0000000000000000 
*110151+000000000000009b 21...2+0000000001027151 22...2+0000000029765680 31...6+0000000000218331 51....-000000000007+175 87...6+0000000000000000 
*110152+0000000000000011 21...2+0000000000623945 22...2+0000000029891964 31...6+0000000000439800 51....-000000000007+175 87...6+0000000000000000 
*110153+0000000000000013 21...2+0000000000402397 22...2+0000000029969461 31...6+0000000000959379 51....-000000000007+175 87...6+0000000000000000 
*110154+0000000000000012 21...2+0000000039968899 22...2+0000000029937473 31...6+0000000000702337 51....-000000000007+175 87...6+0000000000000000 
*110155+000000000000009a 21...2+0000000039391135 22...2+0000000029709408 31...6+0000000000219014 51....-000000000007+175 87...6+0000000000000000 
*110156+0000000000000009 21...2+0000000038537535 22...2+0000000029351836 31...6+0000000000103053 51....-000000000007+175 87...6+0000000000000000 
*110157+0000000000000009 21...2+0000000018537536 22...2+0000000010648212 31...6+0000000000103053 51....-000000000007+175 87...6+0000000000000000 
*110158+000000000000009a 21...2+0000000019391081 22...2+0000000010290565 31...6+0000000000219013 51....-000000000007+175 87...6+0000000000000000 
*110159+0000000000000012 21...2+0000000019968981 22...2+0000000010062567 31...6+0000000000702333 51....-000000000007+175 87...6+0000000000000000 
*110160+0000000000000013 21...2+0000000020402417 22...2+0000000010030462 31...6+0000000000959375 51....-000000000007+175 87...6+0000000000000000 
*110161+0000000000000011 21...2+0000000020624039 22...2+0000000010107939 31...6+0000000000439797 51....-000000000007+175 87...6+0000000000000000 
*110162+000000000000009b 21...2+0000000021027167 22...2+0000000010234263 31...6+0000000000218330 51....-000000000007+175 87...6+0000000000000000 
*110163+0000000000000008 21...2+0000000038363220 22...2+0000000010667385 31...6+0000000000102048 51....-000000000007+175 87...6+0000000000000000 
*110164+000000000000007a 21...2+0000000039488058 22...2+0000000010294930 31...6+0000000000251027 51....-000000000007+175 87...6+0000000000000000 
*110165+0000000000000006 21...2+0000000039969268 22...2+0000000010115832 31...6+0000000000730039 51....-000000000007+175 87...6+0000000000000000 
*110166+000000000000006a 21...2+0000000000640881 22...2+0000000010104181 31...6+0000000000482933 51....-000000000007+175 87...6+0000000000000000 
*110167+0000000000000007 21...2+0000000000702396 22...2+0000000010164376 31...6+0000000000392686 51....-000000000007+175 87...6+0000000000000000 
*110168+000000000000007b 21...2+0000000001049963 22...2+0000000010169066 31...6+0000000000244112 51....-000000000007+175 87...6+0000000000000000 
*110169+000000000000007b 21...2+0000000021049987 22...2+0000000029830859 31...6+0000000000244112 51....-000000000007+175 87...6+0000000000000000 
*110170+0000000000000007 21...2+0000000020702325 22...2+0000000029835602 31...6+0000000000392687 51....-000000000007+175 87...6+0000000000000000 
*110171+000000000000006a 21...2+0000000020640820 22...2+0000000029895803 31...6+0000000000482932 51....-000000000007+175 87...6+0000000000000000 
*110172+0000000000000006 21...2+0000000019969226 22...2+0000000029884143 31...6+0000000000730042 51....-000000000007+175 87...6+0000000000000000 
*110173+000000000000007a 21...2+0000000019488061 22...2+0000000029704903 31...6+0000000000251027 51....-000000000007+175 87...6+0000000000000000 
*110174+0000000000000008 21...2+0000000018363158 22...2+0000000029332660 31...6+0000000000102048 51....-000000000007+175 87...6+0000000000000000 
*110175+000000000000009b 21...2+0000000001027154 22...2+0000000029765679 31...6+0000000000218331 51....-000000000007+175 87...6+0000000000000000 
*110176+0000000000000011 21...2+0000000000623936 22...2+0000000029892016 31...6+0000000000439799 51....-000000000007+175 87...6+0000000000000000 
*110177+0000000000000013 21...2+0000000000402404 22...2+0000000029969498 31...6+0000000000959378 51....-000000000007+175 87...6+0000000000000000 
*110178+0000000000000012 21...2+0000000039968920 22...2+0000000029937445 31...6+0000000000702336 51....-000000000007+175 87...6+0000000000000000 
*110179+000000000000009a 21...2+0000000039391165 22...2+0000000029709427 31...6+0000000000219014 51....-000000000007+175 87...6+0000000000000000 
*110180+0000000000000009 21...2+0000000038537523 22...2+0000000029351838 31...6+0000000000103053 51....-000000000007+175 87...6+0000000000000000 
*110181+0000000000000009 21...2+0000000018537536 22...2+0000000010648217 31...6+0000000000103053 51....-000000000007+175 87...6+0000000000000000 
*110182+000000000000009a 21...2+0000000019391072 22...2+0000000010290581 31...6+0000000000219013 51....-000000000007+175 87...6+0000000000000000 
*110183+0000000000000012 21...2+0000000019968961 22...2+0000000010062541 31...6+0000000000702333 51....-000000000007+175 87...6+0000000000000000 
*110184+0000000000000013 21...2+0000000020402421 22...2+0000000010030454 31...6+0000000000959376 51....-000000000007+175 87...6+0000000000000000 
*110185+0000000000000011 21...2+0000000020624114 22...2+0000000010108037 31...6+0000000000439797 51....-000000000007+175 87...6+0000000000000000 
*110186+000000000000009b 21...2+0000000021027151 22...2+0000000010234276 31...6+0000000000218330 51....-000000000007+175 87...6+0000000000000000 
*110187+0000000000000008 21...2+0000000038363211 22...2+0000000010667378 31...6+0000000000102047 51....-000000000007+175 87...6+0000000000000000 
*110188+000000000000007a 21...2+0000000039488062 22...2+0000000010294976 31...6+0000000000251027 51....-000000000007+175 87...6+0000000000000000 
*110189+0000000000000006 21...2+0000000039969243 22...2+0000000010115828 31...6+0000000000730039 51....-000000000007+175 87...6+0000000000000000 
*110190+000000000000006a 21...2+0000000000640892 22...2+0000000010104137 31...6+0000000000482932 51....-000000000007+175 87...6+0000000000000000 
*110191+0000000000000007 21...2+0000000000702400 22...2+0000000010164418 31...6+0000000000392687 51....-000000000007+175 87...6+0000000000000000 
*110192+000000000000007b 21...2+0000000001049979 22...2+0000000010169169 31...6+0000000000244112 51....-000000000007+175 87...6+0000000000000000 
*110193+000000000000007b 21...2+0000000021049988 22...2+0000000029830766 31...6+0000000000244112 51....-000000000007+175 87...6+0000000000000000 
*110194+0000000000000007 21...2+0000000020702321 22...2+0000000029835546 31...6+0000000000392687 51....-000000000007+175 87...6+0000000000000000 
*110195+000000000000006a 21...2+0000000020640838 22...2+0000000029895771 31...6+0000000000482933 51....-000000000007+175 87...6+0000000000000000 
*110196+0000000000000006 21...2+0000000019969200 22...2+0000000029884125 31...6+0000000000730042 51....-000000000007+175 87...6+0000000000000000 
*110197+000000000000007a 21...2+0000000019488053 22...2+0000000029704968 31...6+0000000000251028 51....-000000000007+175 87...6+0000000000000000 
*110198+0000000000000008 21...2+0000000018363147 22...2+0000000029332668 31...6+0000000000102048 51....-000000000007+175 87...6+0000000000000000 
*110199+000000000000009b 21...2+0000000001027143 22...2+0000000029765676 31...6+0000000000218331 51....-000000000007+175 87...6+0000000000000000 
*110200+0000000000000011 21...2+0000000000623936 22...2+0000000029891961 31...6+0000000000439800 51....-000000000007+175 87...6+0000000000000000 
*110201+0000000000000013 21...2+0000000000402394 22...2+0000000029969547 31...6+0000000000959380 51....-000000000007+175 87...6+0000000000000000 
*110202+0000000000000012 21...2+0000000039968919 22...2+0000000029937486 31...6+0000000000702336 51....-000000000007+175 87...6+0000000000000000 
*110203+000000000000009a 21...2+0000000039391160 22...2+0000000029709429 31...6+0000000000219014 51....-000000000007+175 87...6+0000000000000000 
*110204+0000000000000009 21...2+0000000038537522 22...2+0000000029351824 31...6+0000000000103053 51....-000000000007+175 87...6+0000000000000000 
*110205+0000000000001011 21...2+0000000000149854 22...2+0000000010136506 31...6+0000000000730268 51....-000000000007+175 87...6+0000000000001200 
*110206+0000000000001012 21...2+0000000000281981 22...2+0000000010136351 31...6+0000000000730423 51....-000000000007+175 87...6+0000000000001200 
*110207+0000000000001013 21...2+0000000000343380 22...2+0000000010221285 31...6+0000000000391407 51....-000000000007+175 87...6+0000000000001200 
*110208+0000000000001014 21...2+0000000000095766 22...2+0000000010222392 31...6+0000000000390286 51....-000000000007+175 87...6+0000000000001200 
*110209+0000000000001015 21...2+0000000039757534 22...2+0000000010765404 31...6+0000000000099270 51....-000000000007+175 87...6+0000000000001200 
*110210+0000000000001016 21...2+0000000000736981 22...2+0000000010763917 31...6+0000000000099486 51....-000000000007+175 87...6+0000000000001200 
*110211+0000000000001017 21...2+0000000019692854 22...2+0000000010678092 31...6+0000000000100399 51....-000000000007+175 87...6+0000000000001200 
*110212+0000000000001018 21...2+0000000020662356 22...2+0000000010677850 31...6+0000000000100365 51....-000000000007+175 87...6+0000000000001200 
*110001+0000000000990003 84...6+0000000000000000 85...6+0000000000000000 86...6+0000000000000000 88...6+0000000000000000 
*110052+0000000000000013 21...2+0000000038474854 22...2+0000000010527591 31...6+0000000000111422 51....+000000000007+175 87...6+0000000000000000 
*110053+0000000000000011 21...2+0000000039916464 22...2+0000000010121823 31...6+0000000000627851 51....+000000000007+175 87...6+0000000000000000 
*110054+000000000000009b 21...2+0000000039999874 22...2+0000000010094139 31...6+0000000000850045 51....+000000000007+175 87...6+0000000000000000 
*110055+000000000000009a 21...2+0000000000419506 22...2+0000000010108901 31...6+0000000000849424 51....+000000000007+175 87...6+0000000000000000 
*110056+0000000000000012 21...2+0000000000663110 22...2+0000000010200386 31...6+0000000000365122 51....+000000000007+175 87...6+0000000000000000 
*110057+0000000000000014 21...2+0000000017999217 22...2+0000000010396524 31...6+0000000000087752 51....+000000000007+175 87...6+0000000000000000 
*110058+0000000000000016 21...2+0000000019899762 22...2+0000000010059565 31...6+0000000000572273 51....+000000000007+175 87...6+0000000000000000 
*110059+0000000000000018 21...2+0000000020021822 22...2+0000000010032141 31...6+0000000000836062 51....+000000000007+175 87...6+0000000000000000 
*110060+0000000000000020 21...2+0000000020079860 22...2+0000000010011533 31...6+0000000001233498 51....+000000000007+175 87...6+0000000000000000 
*110061+0000000000000019 21...2+0000000020397079 22...2+0000000010006199 31...6+0000000001066423 51....+000000000007+175 87...6+0000000000000000 
*110062+0000000000000017 21...2+0000000020544129 22...2+0000000010056574 31...6+0000000000573112 51....+000000000007+175 87...6+0000000000000000 
