*110003+0000000000990005 84...6+0000000000000000 85...6+0000000000000000 86...6+0000000000000000 88...6+0000000000000000 
*110268+0000000000000026 21...2+0000000018458253 22...2+0000000010490715 31...6+0000000000106833 51....+000000000007+175 87...6+0000000000000000 
*110269+0000000000000028 21...2+0000000019828545 22...2+0000000010043238 31...6+0000000000592276 51....+000000000007+175 87...6+0000000000000000 
*110270+0000000000000029 21...2+0000000019956711 22...2+0000000010021988 31...6+0000000000902859 51....+000000000007+175 87...6+0000000000000000 
*110271+0000000000000030 21...2+0000000020305922 22...2+0000000010004384 31...6+0000000001114771 51....+000000000007+175 87...6+0000000000000000 
*110272+000000000000029a 21...2+0000000020364183 22...2+0000000009995996 31...6+0000000000902541 51....+000000000007+175 87...6+0000000000000000 
*110273+0000000000000027 21...2+0000000020782973 22...2+0000000010102193 31...6+0000000000277504 51....+000000000007+175 87...6+0000000000000000 
*110274+0000000000000025 21...2+0000000038030812 22...2+0000000010548521 31...6+0000000000090455 51....+000000000007+175 87...6+0000000000000000 
*110275+0000000000000023 21...2+0000000039856124 22...2+0000000010114438 31...6+0000000000592841 51....+000000000007+175 87...6+0000000000000000 
*110276+0000000000000021 21...2+0000000000000004 22...2+0000000010084866 31...6+0000000001075395 51....+000000000007+175 87...6+0000000000000000 
*110277+0000000000000020 21...2+0000000000312688 22...2+0000000010092552 31...6+0000000001097748 51....+000000000007+175 87...6+0000000000000000 
*110278+0000000000000022 21...2+0000000000352579 22...2+0000000010101073 31...6+0000000000894446 51....+000000000007+175 87...6+0000000000000000 
*110279+0000000000000024 21...2+0000000000697317 22...2+0000000010186534 31...6+0000000000340628 51....+000000000007+175 87...6+0000000000000000 
*110280+0000000000000024 21...2+0000000020697348 22...2+0000000029813505 31...6+0000000000340629 51....+000000000007+175 87...6+0000000000000000 
*110281+0000000000000022 21...2+0000000020352599 22...2+0000000029898984 31...6+0000000000894448 51....+000000000007+175 87...6+0000000000000000 
*110282+0000000000000020 21...2+0000000020312686 22...2+0000000029907480 31...6+0000000001097750 51....+000000000007+175 87...6+0000000000000000 
*110283+0000000000000021 21...2+0000000020000037 22...2+0000000029915213 31...6+0000000001075397 51....+000000000007+175 87...6+0000000000000000 
*110284+0000000000000023 21...2+0000000019856156 22...2+0000000029885642 31...6+0000000000592841 51....+000000000007+175 87...6+0000000000000000 
*110285+0000000000000025 21...2+0000000018030776 22...2+0000000029451607 31...6+0000000000090455 51....+000000000007+175 87...6+0000000000000000 
*110286+0000000000000027 21...2+0000000000783026 22...2+0000000029897803 31...6+0000000000277504 51....+000000000007+175 87...6+0000000000000000 
