,Num,X,Y,Dist
0,6a,-32.4401712463,2.17577834578,7.105427357601002e-15
1,7,-41.4657025863,1.64509854728,0.0005548320078923528
2,7b,-56.41113263,1.32963679881,0.00015589928071492223
3,8,-70.6673885515,-5.25738690657,
4,7a,-55.4877325557,-4.69115837898,6.700787192664648e-05
5,4,28.7016541288,-1.78377413826,
6,3,40.8713656293,-2.02223189854,
7,1,77.2321771462,-2.22412703474e-05,
8,2,66.7753209775,5.27229588677,
9,1000,77.2100889164,1.8441662895,
10,1001,77.2008361244,3.36322835461,
11,1002,40.7090807956,2.15723446741,
12,1003,40.7614874346,0.638264000531,
13,1004,17.9457034346,-0.120524074094,
14,1005,18.0109112004,1.40283002773,
15,1006,-7.50011074687,-0.957847820084,
16,1007,-7.5421656897,0.557551421994,
17,6_smpl_0,-7.49231339985,-3.02898992658,
18,4a_smpl_1,17.9477980954,3.45210527051,
19,5_smpl_2,9.48413227454,3.1424783948,
20,11,-124.245085325,-6.98028784965,0.0004255962433423093
21,13,-176.227532354,-8.73701746867,
22,12,-150.712007472,-2.33411606392,0.0005617199254026229
23,1015,-70.6343043412,-3.05211735057,
24,9a,-102.26094932,-0.587530369418,0.00016229569502506437
25,9b,-102.01730034,-6.18178486183,0.00024392279865114943
26,8_smpl_1,-70.6673329402,-5.25755397804,
27,1018,-90.4081908263,-3.71329100194,
28,6,-7.4914029133,-3.02949369723,
29,1014,-41.4821203004,-2.09013049548,
30,9_smpl_0,-90.4651160719,-0.34239437179,
31,1016,-70.6715443875,-1.53599018127,
32,1017,-90.4538800352,-2.19539620724,
33,1011,-7.4927088771,-0.95842822412,
34,1012,-7.5285715127,0.55664444475,
35,1013,-41.4223264865,-0.56797994385,
36,3005,-150.420434106,-5.70167267104,
37,3004,-150.578881843,-4.18926597438,
38,3007,-176.48774252,-5.05004997409,
39,3006,-176.436448841,-6.56783573563,
40,3001,-102.072586936,-4.09811717938,
41,3000,-102.202033142,-2.5846774054,
42,3003,-124.480911885,-3.32045184896,
43,3002,-124.349930587,-4.83694552461,
44,3009,-194.800667032,-7.1772147347,
45,3008,-194.881641429,-5.65887848309,
46,20,-310.353845884,-7.5059086845,0.0005762137797201475
47,13_smpl_0,-176.228623954,-8.73620722271,
48,15,-218.329134303,-9.91744483258,0.0005594192732302127
49,17,-244.117475357,-10.9214779162,1.4307977060578098e-08
50,16,-244.229237961,-5.12813519793,0.00029028726236359474
51,19,-293.454648552,-12.6232602516,
52,18,-270.617590093,-6.28749014504,0.0001202403758873332
53,14_smpl_1,-195.338835522,-3.37351436844,
54,19_smpl_2,-293.454647831,-12.624145525,
55,20_smpl_0,-310.35351682,-7.50690129321,
56,24,-386.120048438,-9.92133421049,0.00014710536553932087
57,25,-411.315156056,-16.6346734029,
58,22,-330.68294464,-8.14529217455,0.000419602885543133
59,23,-360.65616759,-14.7315047093,0.0001611086275838599
60,4000,-194.960129243,-5.65985375743,
61,4001,-194.825537212,-7.1769123124,
62,4002,-218.442296363,-7.96134043696,
63,4003,-218.481757054,-6.44402775717,
64,4004,-243.998464108,-7.28825074074,
65,4005,-243.965789549,-8.80804551849,
66,4006,-270.497082575,-8.1653196283,
67,4007,-270.428745237,-9.68478318433,
68,21_smpl_1,-312.401055443,-12.9157607179,
69,4008,-293.429820514,-10.4499183181,
70,4009,-293.550002944,-8.93250703016,
71,14,-195.338817099,-3.37276164179,
72,4011,-310.280903765,-11.0074906519,
73,4010,-310.36842418,-9.49217043317,
74,27,-447.427900759,-17.653327707,0.0005365766301858674
75,21,-312.401138312,-12.9157397831,
76,30,-531.216129467,-20.4313445562,
77,28,-479.143516204,-12.9674363549,0.0003400276892342571
78,29,-510.211117906,-14.254830294,0.00013498544997167934
79,29a,-509.977165314,-20.0266951092,0.00014615456981480264
80,25_smpl_1,-411.31497853,-16.6359491018,
81,26_smpl_0,-430.291352604,-11.5252763155,
82,30_smpl_2,-531.216207159,-20.4313252336,
83,6006,-509.826396432,-16.1140472175,
84,6007,-509.736598116,-17.6316915574,
85,26,-430.291194828,-11.5251248726,
86,6002,-447.829928466,-14.0578314157,
87,6003,-447.767737813,-15.5752870704,
88,6000,-430.021672901,-14.9850391843,
89,6001,-430.096895994,-13.4699103037,
90,6008,-531.267073607,-18.3505502031,
91,6009,-531.384780132,-16.8327119895,
92,31_smpl_0,-543.070268509,-15.4706384248,
93,6004,-478.839906265,-16.6155400381,
94,6005,-478.94270605,-15.0962970021,
95,6011,-543.284863107,-18.7465320639,
96,6010,-543.368304484,-17.2313787457,
97,33,-568.272177656,-21.2814535418,2.846193748265795e-05
98,32_smpl_1,-542.920144359,-20.5882453473,
99,36,-638.207062171,-18.6445835626,
100,35,-618.327603418,-22.9972755546,5.9568778005955675e-09
101,34,-593.27253208,-17.135448384,0.00012545670017924163
102,36_smpl_0,-638.2070651,-18.6455625929,
103,7010,-663.236560224,-22.74117632,
104,7011,-663.325416332,-21.2221212524,
105,42,-738.236654812,-22.0102204309,
106,40,-713.40351951,-21.1559027218,0.00041475218413289
107,41,-713.197569291,-26.1718424407,0.00023139851229333529
108,37_smpl_1,-663.369830063,-19.4930173562,
109,39,-688.404816765,-20.2764019262,0.0002149060009560015
110,7009,-638.101750125,-21.9040908422,
111,7008,-638.152385973,-20.3860280411,
112,7001,-543.238537213,-18.7437950837,
113,7000,-543.325994537,-17.2280262834,
114,7003,-568.343145989,-18.0613462898,
115,7002,-568.294706962,-19.5801443602,
116,7005,-593.31352993,-20.4136452258,
117,7004,-593.358944231,-18.8927882761,
118,7007,-618.357803306,-19.7236646438,
119,7006,-618.311985112,-21.2442198052,
120,38_smpl_2,-663.192127066,-24.4825166414,
121,32,-542.920512947,-20.5881038185,
122,31,-543.070456491,-15.4696718672,
123,38,-663.191977343,-24.4838488663,
124,48,-863.766606069,-26.1615434607,
125,43_smpl_1,-763.270032006,-27.9289371091,
